n240306sa1bi61jbwix6mz3p65f55ux8,"[10-19,10-19,10-19,20--29,10-19,10-19,20--29,20--29]",5//8,62.5%,0-2:0,3-9:0,10-19:5
n240305qnls7nnlnb9pm81rfzmokxs3r,"[20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29]",0//19,0.0%,0-2:0,3-9:0,10-19:0
n240303sa18cj2575yxeey2ufagzyyfb,"[20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29]",0//13,0.0%,0-2:0,3-9:0,10-19:0
n240228sa1c7fgym7n1xl6b6e2ccptzf,"[20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29]",0//60,0.0%,0-2:0,3-9:0,10-19:0
n240228sa19q147a8lglvl2hivl8tlku,"[20--29,20--29,20--29,3-9,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,3-9,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29]",2//34,5.88%,0-2:0,3-9:2,10-19:0
n240302saw1mwktw740hq29tiblvtzys,"[20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,30-39,20--29,20--29,20--29,20--29,30-39,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29]",0//44,0.0%,0-2:0,3-9:0,10-19:0
n240305savwp0fr3t0qs7vecvzgjrwdz,"[20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,10-19,20--29,20--29,20--29,20--29,20--29,20--29]",1//22,4.55%,0-2:0,3-9:0,10-19:1
n240306sa1wddx3zkm00bu2xxl1gz8d9,"[10-19,20--29,10-19,20--29,3-9,20--29,20--29,20--29,20--29,20--29,20--29,3-9,20--29,20--29,20--29,20--29,10-19,10-19,20--29,20--29,20--29,3-9,3-9,3-9,3-9,20--29,20--29,20--29]",10//28,35.71%,0-2:0,3-9:6,10-19:4
n240229sa16fbibfvaij8i3q5fr3aw72,"[20--29,20--29,30-39,20--29,20--29,20--29,20--29,20--29,30-39,20--29,20--29,20--29,30-39,20--29,20--29,30-39,20--29,20--29,20--29,20--29]",0//20,0.0%,0-2:0,3-9:0,10-19:0
n240302sa1sz9ychtbe6p425swj7s2cs,"[20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29,20--29]",0//16,0.0%,0-2:0,3-9:0,10-19:0
